Nummer,Name,Insgesamt,maeannlich,weiblich
01001,Flensburg - Kreisfreie Stadt,82258,40534,41724
01002,Kiel - Landeshauptstadt - Kreisfreie Stadt,235782,113505,122277
01003,L�beck - Hansestadt - Kreisfreie Stadt,210305,99832,110473
01004,Neum�nster - Kreisfreie Stadt,77249,37710,39539
01051,Dithmarschen - Landkreis,133900,65528,68372
01053,Herzogtum Lauenburg - Landkreis,187137,90976,96162
01054,Nordfriesland - Landkreis,163665,79541,84124
01055,Ostholstein - Landkreis,198413,95265,103148
01056,Pinneberg - Landkreis,296341,144046,152295
01057,Pl�n - Landkreis,127676,61687,65989
01058,Rendsburg-Eckernf�rde - Landkreis,269362,131868,137496
01059,Schleswig-Flensburg - Landkreis,196025,96605,99420
01060,Segeberg - Landkreis,260665,127503,133162
01061,Steinburg - Landkreis,130785,64208,66575
01062,Stormarn - Landkreis,230556,111676,118879
02000,Hamburg,1706696,825451,881245
03101,Braunschweig - Kreisfreie Stadt,242537,118128,124409
03102,Salzgitter - Kreisfreie Stadt,98895,48015,50880
03103,Wolfsburg - Kreisfreie Stadt,119984,58747,61237
03151,Gifhorn - Landkreis,171333,85102,86229
03152,G�ttingen - Landkreis,248037,120644,127393
03153,Goslar - Landkreis,140137,68053,72084
03154,Helmstedt - Landkreis,91410,44815,46595
03155,Northeim - Landkreis,137445,67254,70192
03156,Osterode am Harz - Landkreis,76785,37334,39452
03157,Peine - Landkreis,130398,63816,66582
03158,Wolfenb�ttel - Landkreis,120774,59275,61498
03159,G�ttingen - Landkreis,-,-,-
03241,Region Hannover - Landkreis,1102240,532471,569771
03241001,Hannover - Landeshauptstadt,506416,243173,263243
03251,Diepholz - Landkreis,211185,104633,106551
03252,Hameln-Pyrmont - Landkreis,150259,72045,78214
03254,Hildesheim - Landkreis,277595,133900,143694
03255,Holzminden - Landkreis,73548,36051,37496
03256,Nienburg (Weser) - Landkreis,122241,60579,61663
03257,Schaumburg - Landkreis,157496,76362,81135
03351,Celle - Landkreis,176690,86149,90541
03352,Cuxhaven - Landkreis,198777,97025,101753
03353,Harburg - Landkreis,238443,115789,122653
03354,L�chow-Dannenberg - Landkreis,49205,24131,25074
03355,L�neburg - Landkreis,174123,84545,89578
03356,Osterholz - Landkreis,110907,54265,56642
03357,Rotenburg (W�mme) - Landkreis,162726,81213,81513
03358,Heidekreis - Landkreis,136693,67258,69435
03359,Stade - Landkreis,195450,97195,98255
03360,Uelzen - Landkreis,93596,45440,48155
03361,Verden - Landkreis,132300,64516,67784
03401,Delmenhorst - Kreisfreie Stadt,73322,35873,37449
03402,Emden - Kreisfreie Stadt,49787,24320,25467
03403,Oldenburg (Oldenburg) - Kreisfreie Stadt,157267,74602,82665
03404,Osnabr�ck - Kreisfreie Stadt,153699,73134,80565
03405,Wilhelmshaven - Kreisfreie Stadt,77451,37978,39473
03451,Ammerland - Landkreis,117912,57703,60209
03452,Aurich - Landkreis,187136,91373,95762
03453,Cloppenburg - Landkreis,159337,80218,79119
03454,Emsland - Landkreis,311089,156408,154681
03455,Friesland - Landkreis,98229,47860,50369
03456,Grafschaft Bentheim - Landkreis,133395,66200,67195
03457,Leer - Landkreis,163832,80830,83002
03458,Oldenburg - Landkreis,125015,61588,63426
03459,Osnabr�ck - Landkreis,350147,172481,177666
03460,Vechta - Landkreis,132293,66111,66183
03461,Wesermarsch - Landkreis,90033,44693,45342
03462,Wittmund - Landkreis,56839,27654,29185
04011,Bremen - Kreisfreie Stadt,542707,263382,279325
04012,Bremerhaven - Kreisfreie Stadt,108156,52720,55436
05111,D�sseldorf - Kreisfreie Stadt,586291,281487,304804
05112,Duisburg - Kreisfreie Stadt,488468,237830,250638
05113,Essen - Kreisfreie Stadt,566201,270733,295468
05114,Krefeld - Kreisfreie Stadt,222247,106753,115494
05116,M�nchengladbach - Kreisfreie Stadt,255188,123761,131427
05117,M�lheim an der Ruhr - Kreisfreie Stadt,166865,79165,87700
05119,Oberhausen - Kreisfreie Stadt,210216,102088,108127
05120,Remscheid - Kreisfreie Stadt,110708,53810,56898
05122,Solingen - Kreisfreie Stadt,155265,74331,80934
05124,Wuppertal - Kreisfreie Stadt,342661,164777,177884
05154,Kleve - Kreis,300989,148241,152749
05158,Mettmann - Kreis,477778,229244,248533
